college,lat,long
http://dbpedia.org/resource/Muhimbili_University_of_Health_and_Allied_Sciences,-6.80778,39.2733
http://dbpedia.org/resource/Muhlenberg_College,40.5976,-75.5101
http://dbpedia.org/resource/Muhyiddin_School,4.17306,73.4856
http://dbpedia.org/resource/Muir_College,-33.7344,25.4203
http://dbpedia.org/resource/Mukand_Lal_National_College,30.1339,77.2888
http://dbpedia.org/resource/Mukkam_Muslim_Orphanage,11.322,75.9354
http://dbpedia.org/resource/Mulawarman_University,-0.468437,117.154
http://dbpedia.org/resource/Mullingstorp,58.5425,16.6882
http://dbpedia.org/resource/Multani_Mal_Modi_College,30.3174,76.3949
"http://dbpedia.org/resource/Multimedia_Art_Museum,_Moscow",55.7416,37.5987
http://dbpedia.org/resource/Multimedia_University,2.24889,102.277
http://dbpedia.org/resource/Multnomah_College,45.5181,-122.683
http://dbpedia.org/resource/Multnomah_University,45.5265,-122.577
http://dbpedia.org/resource/Munavvirul_Islam_Rabbaniyya_Shareeath_College,12.1382,75.1772
http://dbpedia.org/resource/Mundelein_College,41.9985,-87.6565
http://dbpedia.org/resource/Muni_University,2.9975,30.9258
http://dbpedia.org/resource/Munich_Business_School,48.1361,11.5244
http://dbpedia.org/resource/Munich_Digitization_Center,48.1477,11.5808
http://dbpedia.org/resource/Munich_University_of_Applied_Sciences,48.1534,11.5528
http://dbpedia.org/resource/Munk_School_of_Global_Affairs,43.662,-79.3929
http://dbpedia.org/resource/Munsang_College_(Hong_Kong_Island),22.2829,114.224
http://dbpedia.org/resource/Munshi_Premchand_Mahavidyalaya,26.7271,88.4259
http://dbpedia.org/resource/Muragacha_Government_College,23.5362,88.4094
http://dbpedia.org/resource/Muralidhar_Girls'_College,22.5178,88.3654
http://dbpedia.org/resource/Murang'a_University_of_Technology,-0.716,37.147
http://dbpedia.org/resource/Murarai_Government_Polytechnic,24.5205,87.8296
http://dbpedia.org/resource/Murari_Chand_College,24.9045,91.9008
http://dbpedia.org/resource/Murdoch_University,-32.066,115.835
http://dbpedia.org/resource/Murillo_Family_Observatory,34.1869,-117.318
http://dbpedia.org/resource/Murmansk_Nakhimov_Naval_School,68.9056,33.1048
http://dbpedia.org/resource/Murmansk_State_Technical_University,68.9536,33.0631
http://dbpedia.org/resource/Muroran_Institute_of_Technology,42.3769,141.034
"http://dbpedia.org/resource/Murray_Edwards_College,_Cambridge",52.2142,0.1086
http://dbpedia.org/resource/Murray_State_University,36.6156,-88.3214
http://dbpedia.org/resource/Murshidabad_Adarsha_Mahavidyalaya,24.1498,88.4699
http://dbpedia.org/resource/Murshidabad_College_of_Engineering_&_Technology,24.1015,88.2846
http://dbpedia.org/resource/Murshidabad_Institute_of_Technology,24.1048,88.2826
http://dbpedia.org/resource/Murshidabad_Medical_College_and_Hospital,24.0888,88.2589
http://dbpedia.org/resource/Murshidabad_University,23.7532,87.0844
http://dbpedia.org/resource/Murugappa_Polytechnic_College,13.1256,80.1161
http://dbpedia.org/resource/Musamus_Merauke_University,-8.53186,140.417
http://dbpedia.org/resource/Musashino_Art_University,35.7261,139.447
http://dbpedia.org/resource/Muscle_Shoals_High_School,34.7431,-87.6465
http://dbpedia.org/resource/Museo_San_Francisco_Cultural_Center,-16.4962,-68.1369
http://dbpedia.org/resource/Museu_Militar_do_Porto,41.1459,-8.5953
"http://dbpedia.org/resource/Museum_of_Contemporary_Art,_Belgrade",44.8194,20.4422
http://dbpedia.org/resource/Museum_of_Contemporary_Craft,45.5244,-122.678
http://dbpedia.org/resource/Museum_of_Early_Trades_and_Crafts,40.7597,-74.4175
http://dbpedia.org/resource/Museum_of_John_Paul_II_and_Primate_Wyszyński,52.1586,21.0722
